DATE,FII_Net_Purchase_Sales,DII_Net_Purchase_Sales,Total_Net
08-Apr-25,"-4,994.20","3,097.20",-1897.0
07-Apr-25,"-9,040","12,122.40",3082.3999999999996
04-Apr-25,"-3,484","-1,720.30",-5204.3
03-Apr-25,"-2,806",221.5,-2584.5
02-Apr-25,"-1,538.90","2,808.80",1269.9
01-Apr-25,"-5,901.60","4,322.60",-1579.0
28-Mar-25,"-4,352.80","7,646.50",3293.7
27-Mar-25,"11,111.20","2,517.70",13628.900000000001
26-Mar-25,"2,240.60",-696.4,1544.1999999999998
25-Mar-25,"5,371.60","-2,768.90",2602.7000000000003
24-Mar-25,"3,055.80",98.5,3154.3
21-Mar-25,"7,470.40","-3,202.30",4268.099999999999
20-Mar-25,"3,239.10","-3,136",103.09999999999991
19-Mar-25,"-1,096.50","2,140.80",1044.3000000000002
18-Mar-25,694.6,"2,534.80",3229.4
17-Mar-25,"-4,488.40","6,000.60",1512.2000000000007
13-Mar-25,-792.9,"1,723.80",930.9
12-Mar-25,"-1,627.60","1,510.40",-117.19999999999982
11-Mar-25,"-2,823.80","2,001.80",-822.0000000000002
10-Mar-25,-485.4,263.5,-221.89999999999998
07-Mar-25,"-2,035.10","2,320.40",285.3000000000002
06-Mar-25,"-2,377.30","1,617.80",-759.5000000000002
05-Mar-25,"-2,895","3,370.60",475.5999999999999
04-Mar-25,"-3,405.80","4,851.40",1445.5999999999995
03-Mar-25,"-4,788.30","8,790.70",4002.4000000000005
28-Feb-25,"-11,639","12,308.60",669.6000000000004
27-Feb-25,-556.6,"1,727.10",1170.5
25-Feb-25,"-3,529.10","3,030.80",-498.2999999999997
24-Feb-25,"-6,286.70","5,185.60",-1101.0999999999995
21-Feb-25,"-3,449.20","2,884.60",-564.5999999999999
20-Feb-25,"-3,311.60","3,907.60",596.0
19-Feb-25,"-1,881.30","1,957.70",76.40000000000009
18-Feb-25,"4,786.60","3,072.20",7858.8
17-Feb-25,"-3,937.80","4,759.80",822.0
14-Feb-25,"-4,294.70","4,363.90",69.19999999999982
13-Feb-25,"-2,789.90","2,934.50",144.5999999999999
12-Feb-25,"-4,969.30","5,929.20",959.8999999999996
11-Feb-25,"-4,486.40","4,001.90",-484.49999999999955
10-Feb-25,"-2,463.70","1,515.50",-948.1999999999998
07-Feb-25,-470.4,454.2,-16.19999999999999
06-Feb-25,"-3,550","2,721.70",-828.3000000000002
05-Feb-25,"-1,682.80",996.3,-686.5
04-Feb-25,809.2,-430.7,378.50000000000006
03-Feb-25,"-3,958.40","2,708.20",-1250.2000000000003
01-Feb-25,"-1,327.10",824.4,-502.69999999999993
31-Jan-25,"-1,189","2,232.20",1043.1999999999998
30-Jan-25,"-4,583","2,165.90",-2417.1
29-Jan-25,"-2,586.40","1,792.70",-793.7
28-Jan-25,"-4,920.70","6,814.30",1893.6000000000004
27-Jan-25,"-5,015.50","6,642.20",1626.6999999999998
24-Jan-25,"-2,758.50","2,402.30",-356.1999999999998
23-Jan-25,"-5,462.50","3,712.60",-1749.9
22-Jan-25,"-4,026.20","3,640.20",-386.0
21-Jan-25,"-5,920.30","3,500.30",-2420.0
20-Jan-25,"-4,336.50","4,322",-14.5
17-Jan-25,"-3,318.10","2,572.90",-745.1999999999998
16-Jan-25,"-4,342","2,928.70",-1413.3000000000002
15-Jan-25,"-4,533.50","3,682.50",-851.0
14-Jan-25,"-8,132.30","7,901.10",-231.19999999999982
13-Jan-25,"-4,892.80","8,066.10",3173.3
10-Jan-25,"-2,254.70","3,961.90",1707.2000000000003
09-Jan-25,"-7,170.90","7,639.60",468.7000000000007
08-Jan-25,"-3,362.20","2,716.30",-645.8999999999996
07-Jan-25,"-1,491.50","1,615.30",123.79999999999995
06-Jan-25,"-2,575.10","5,749.60",3174.5000000000005
03-Jan-25,"-4,227.20",820.6,-3406.6
02-Jan-25,"1,506.80",22.1,1528.8999999999999
01-Jan-25,"-1,782.70","1,690.40",-92.29999999999995
31-Dec-24,"-4,645.20","4,546.70",-98.5
30-Dec-24,"-1,893.20","2,173.90",280.70000000000005
27-Dec-24,"-1,323.30","2,544.60",1221.3
26-Dec-24,"-2,376.70","3,336.20",959.5
24-Dec-24,"-2,454.20","2,819.20",365.0
23-Dec-24,-168.7,"2,227.70",2059.0
20-Dec-24,"-3,597.80","1,374.40",-2223.4
19-Dec-24,"-4,224.90","3,943.20",-281.6999999999998
18-Dec-24,"-1,316.80","4,084.10",2767.3
17-Dec-24,"-6,409.90","2,706.50",-3703.3999999999996
16-Dec-24,-278.7,-234.2,-512.9
13-Dec-24,"2,335.30",-732.2,1603.1000000000001
12-Dec-24,"-3,560","2,646.60",-913.4000000000001
11-Dec-24,"-1,012.20","2,007.80",995.5999999999999
10-Dec-24,"1,286",605.8,1891.8
09-Dec-24,724.3,"-1,648.10",-923.8
06-Dec-24,"-1,830.30","1,659.10",-171.20000000000005
05-Dec-24,"8,539.90","-2,303.60",6236.299999999999
04-Dec-24,"1,797.60",-900.6,896.9999999999999
03-Dec-24,"3,664.70",-251,3413.7
02-Dec-24,-238.3,"3,588.70",3350.3999999999996
29-Nov-24,"-4,383.60","5,723.30",1339.6999999999998
28-Nov-24,"-11,756.20","8,718.30",-3037.9000000000015
27-Nov-24,7.8,"1,302",1309.8
26-Nov-24,"1,157.70","-1,910.90",-753.2
25-Nov-24,"9,947.60","-6,908",3039.6000000000004
22-Nov-24,"-1,278.40","1,722.20",443.79999999999995
21-Nov-24,"-5,320.70","4,200.20",-1120.5
19-Nov-24,"-3,411.70","2,783.90",-627.7999999999997
18-Nov-24,"-1,403.40","2,330.60",927.1999999999998
14-Nov-24,"-1,849.90","2,481.80",631.9000000000001
13-Nov-24,"-2,502.60","6,145.20",3642.6
12-Nov-24,"-3,024.30","1,854.50",-1169.8000000000002
11-Nov-24,"-2,306.90","2,026.60",-280.3000000000002
08-Nov-24,"-3,404","1,748.40",-1655.6
07-Nov-24,"-4,888.80","1,786.70",-3102.1000000000004
06-Nov-24,"-4,445.60","4,889.30",443.6999999999998
05-Nov-24,"-2,569.40","3,031",461.5999999999999
04-Nov-24,"-4,329.80","2,936.10",-1393.7000000000003
01-Nov-24,-211.9,-377.3,-589.2
31-Oct-24,"-5,813.30","3,514.60",-2298.7000000000003
30-Oct-24,"-4,613.60","4,518.30",-95.30000000000018
29-Oct-24,-548.7,730.1,181.39999999999998
28-Oct-24,"-3,228.10","1,400.80",-1827.3
25-Oct-24,"-3,036.80","4,159.30",1122.5
